transaction_id,wallet_id,merchant_id,payment_method_id,device_id,transaction_timestamp,amount,transaction_fee,cashback,loyalty_points,status,transaction_type,location_city,currency,fraud_flag
TXN-20240109-0000001,WALL-0052483,MERCH-00310,PM-04,DEV-01,2024-01-09 23:14:00,100.0,2.0,8.0,20,Success,Purchase,Kandy,MMK,False
TXN-20240109-0000002,WALL-0087592,MERCH-00408,PM-04,DEV-01,2024-01-09 14:06:12,137.02,2.7404,0.0,13,Success,Payment,Kolkata,INR,False
TXN-20240109-0000003,WALL-0047116,MERCH-00058,PM-01,DEV-05,2024-01-09 15:34:34,14.95,0.0,0.299,1,Success,Purchase,Hyderabad,INR,False
TXN-20240109-0000004,WALL-0011414,MERCH-00072,PM-02,DEV-01,2024-01-09 19:25:58,5.04,0.0101,0.1008,0,Success,Purchase,Ahmedabad,MMK,False
TXN-20240109-0000005,WALL-0145432,MERCH-00375,PM-02,DEV-02,2024-01-09 18:32:20,30.32,0.0606,0.0,3,Success,Purchase,Pattaya,THB,False
TXN-20240109-0000006,WALL-0069991,MERCH-00433,PM-02,DEV-03,2024-01-09 21:56:31,191.53,0.3831,0.0,19,Success,Tax Payment,Singapore,SGD,False
TXN-20240109-0000007,WALL-0071104,MERCH-00325,PM-02,DEV-01,2024-01-09 07:55:06,109.82,0.2196,0.0,10,Success,Bill Payment,Khon Kaen,THB,False
TXN-20240109-0000008,WALL-0068558,MERCH-00178,PM-01,DEV-01,2024-01-09 03:38:03,41.01,0.0,2.0507,4,Success,Purchase,Mawlamyine,MMK,False
TXN-20240109-0000009,WALL-0026877,MERCH-00106,PM-01,DEV-01,2024-01-09 17:10:26,55.28,0.0,0.0,5,Success,Purchase,Islamabad,PKR,False
TXN-20240109-0000010,WALL-0065634,MERCH-00175,PM-03,DEV-03,2024-01-09 18:28:15,263.64,2.1092,13.1822,26,Success,Purchase,Bali,IDR,False
TXN-20240109-0000011,WALL-0018515,MERCH-00129,PM-02,DEV-01,2024-01-09 17:12:17,23.12,0.0462,0.0,2,Success,Purchase,Pathein,MMK,False
TXN-20240109-0000012,WALL-0037899,MERCH-00421,PM-04,DEV-01,2024-01-09 09:15:30,170.44,3.4087,0.0,17,Success,Payment,Kuala Lumpur,MYR,False
TXN-20240109-0000013,WALL-0130048,MERCH-00038,PM-01,DEV-05,2024-01-09 20:10:39,24.8,0.0,0.496,2,Success,Purchase,Pathein,MMK,False
TXN-20240109-0000014,WALL-0060881,MERCH-00321,PM-03,DEV-03,2024-01-09 14:20:09,29.66,0.2373,0.0,2,Success,Bill Payment,Yangon,MMK,False
TXN-20240109-0000015,WALL-0043821,MERCH-00152,PM-02,DEV-03,2024-01-09 13:20:01,170.84,0.3417,8.5422,17,Success,Purchase,Khon Kaen,LKR,False
TXN-20240109-0000016,WALL-0061785,MERCH-00142,PM-01,DEV-05,2024-01-09 09:24:37,477.25,0.0,23.8624,47,Success,Purchase,Taunggyi,MMK,False
TXN-20240109-0000017,WALL-0081865,MERCH-00247,PM-02,DEV-02,2024-01-09 14:40:57,18.45,0.0369,0.0,1,Success,Subscription,Bandung,IDR,False
TXN-20240109-0000018,WALL-0008384,MERCH-00259,PM-01,DEV-01,2024-01-09 16:43:09,10.33,0.0,0.0,1,Success,Subscription,Mawlamyine,MMK,False
TXN-20240109-0000019,WALL-0006841,MERCH-00247,PM-03,DEV-03,2024-01-09 20:13:16,19.25,0.154,0.0,1,Success,Subscription,Mandalay,MMK,False
TXN-20240109-0000020,WALL-0065722,MERCH-00018,PM-01,DEV-01,2024-01-09 04:34:16,11.68,0.0,0.2337,1,Success,Purchase,Kuala Lumpur,MYR,False
TXN-20240109-0000021,WALL-0145937,MERCH-00074,PM-04,DEV-03,2024-01-09 20:44:38,5.0,0.1,0.1,0,Success,Purchase,Siem Reap,KHR,False
TXN-20240109-0000022,WALL-0010878,MERCH-00383,PM-03,DEV-02,2024-01-09 12:10:24,80.08,0.6406,0.0,8,Success,Purchase,Bangalore,INR,False
TXN-20240109-0000023,WALL-0068890,MERCH-00403,PM-01,DEV-05,2024-01-09 18:41:25,215.47,0.0,0.0,21,Success,Payment,Kandy,LKR,False
TXN-20240109-0000024,WALL-0004522,MERCH-00080,PM-01,DEV-01,2024-01-09 09:23:43,8.3,0.0,0.1661,0,Success,Purchase,Singapore,SGD,False
TXN-20240109-0000025,WALL-0098591,MERCH-00314,PM-02,DEV-01,2024-01-09 17:08:50,109.33,0.2187,0.0,10,Success,Bill Payment,Jakarta,IDR,False
TXN-20240109-0000026,WALL-0025944,MERCH-00363,PM-04,DEV-04,2024-01-09 06:18:14,26.76,0.5352,0.0,2,Success,Bill Payment,Chennai,INR,False
TXN-20240109-0000027,WALL-0049262,MERCH-00145,PM-01,DEV-02,2024-01-09 15:16:30,42.89,0.0,2.1445,4,Success,Purchase,Mandalay,MMK,False
TXN-20240109-0000028,WALL-0134621,MERCH-00367,PM-01,DEV-02,2024-01-09 10:52:39,16.52,0.0,0.0,1,Success,Bill Payment,Pathein,MMK,False
