merchant_id,merchant_name,merchant_category,city,country,merchant_rating,joined_date
MERCH-00001,Golden Dragon Restaurant,Food,Mumbai,India,4.2,2022-03-16
MERCH-00002,Spice Garden,Food,Quezon City,Philippines,3.8,2020-08-27
MERCH-00003,The Curry House,Food,Ahmedabad,India,3.6,2018-10-03
MERCH-00004,Sunset Café,Food,Jaipur,India,3.8,2020-03-09
MERCH-00005,Lotus Kitchen,Food,Chittagong,Bangladesh,4.4,2019-01-30
MERCH-00006,Royal Feast,Food,Mawlamyine,Myanmar,4.3,2020-07-16
MERCH-00007,Tasty Bites,Food,Bangkok,Thailand,3.5,2019-01-12
MERCH-00008,Bamboo Garden,Food,Mandalay,Myanmar,3.7,2022-01-06
MERCH-00009,Street Wok,Food,Chiang Mai,Thailand,3.9,2021-10-22
MERCH-00010,The Noodle Bar,Food,Kathmandu,Nepal,3.8,2021-03-23
MERCH-00011,Ember Grill,Food,Kuala Lumpur,Malaysia,3.0,2020-02-24
MERCH-00012,Harbor View Restaurant,Food,Jakarta,Indonesia,3.3,2022-11-29
MERCH-00013,Family Table,Food,Lahore,Pakistan,5.0,2021-05-28
MERCH-00014,Urban Bites,Food,Kandy,Sri Lanka,4.8,2020-07-03
MERCH-00015,Monsoon Kitchen,Food,Hanoi,Vietnam,4.3,2021-06-11
MERCH-00016,Jade Palace,Food,Ahmedabad,India,4.3,2019-09-22
MERCH-00017,The Terrace Café,Food,Kathmandu,Nepal,3.8,2022-05-07
MERCH-00018,Ramen House,Food,Surabaya,Indonesia,4.3,2020-09-27
MERCH-00019,Pho Corner,Food,Johor Bahru,Malaysia,3.7,2021-07-22
MERCH-00020,Dosa Point,Food,Quezon City,Philippines,4.1,2020-11-12
MERCH-00021,Biryani Hub,Food,Pathein,Myanmar,4.0,2023-10-09
MERCH-00022,Sushi Spot,Food,Colombo,Sri Lanka,4.5,2023-10-02
MERCH-00023,Pizza Palace,Food,Siem Reap,Cambodia,3.8,2023-03-03
MERCH-00024,The Burger Stop,Food,Cebu City,Philippines,4.0,2018-08-01
MERCH-00025,Chicken Republic,Food,Siem Reap,Cambodia,3.6,2023-11-22
MERCH-00026,Mango Tree,Food,Khon Kaen,Thailand,3.8,2022-09-23
MERCH-00027,Green Leaf Café,Food,Bangkok,Thailand,3.8,2022-04-07
MERCH-00028,The Sandwich Shop,Food,Bali,Indonesia,3.7,2021-08-25
MERCH-00029,Tandoor Express,Food,Kandy,Sri Lanka,4.2,2021-06-08
MERCH-00030,Pad Thai Place,Food,Chittagong,Bangladesh,3.8,2019-10-09
MERCH-00031,Night Owl Diner,Food,Lahore,Pakistan,3.9,2018-10-31
MERCH-00032,Continental Kitchen,Food,Bangalore,India,4.3,2022-01-07
MERCH-00033,Ocean Breeze Seafood,Food,Myitkyina,Myanmar,3.5,2023-07-08
MERCH-00034,Rice Bowl,Food,Phuket,Thailand,4.4,2019-12-24
MERCH-00035,Morning Glory Café,Food,Quezon City,Philippines,4.8,2021-12-15
MERCH-00036,Heritage Restaurant,Food,Chiang Mai,Thailand,4.0,2020-02-16
MERCH-00037,The Spice Route,Food,Pathein,Myanmar,4.3,2022-05-31
MERCH-00038,Zest Kitchen,Food,Bago,Myanmar,4.5,2023-05-13
MERCH-00039,Lotus Bloom Café,Food,Chiang Mai,Thailand,3.9,2018-04-28
MERCH-00040,Corner Bistro,Food,Mandalay,Myanmar,3.8,2022-08-18
MERCH-00041,Golden Dragon Restaurant 2,Food,Mumbai,India,4.3,2023-01-05
MERCH-00042,Spice Garden 2,Food,Jaipur,India,4.1,2019-08-28
MERCH-00043,The Curry House 2,Food,Quezon City,Philippines,4.2,2018-04-15
MERCH-00044,Sunset Café 2,Food,Chennai,India,4.1,2023-07-16
MERCH-00045,Lotus Kitchen 2,Food,Karachi,Pakistan,4.3,2020-11-26
MERCH-00046,Royal Feast 2,Food,Kandy,Sri Lanka,3.8,2019-12-08
MERCH-00047,Tasty Bites 2,Food,Bago,Myanmar,4.0,2018-10-20
MERCH-00048,Bamboo Garden 2,Food,Yangon,Myanmar,3.8,2020-05-26
MERCH-00049,Street Wok 2,Food,Kandy,Sri Lanka,4.1,2021-01-21
MERCH-00050,The Noodle Bar 2,Food,Lahore,Pakistan,3.9,2019-03-25
MERCH-00051,Ember Grill 2,Food,Chennai,India,4.2,2019-12-25
MERCH-00052,Harbor View Restaurant 2,Food,Taunggyi,Myanmar,4.4,2020-09-29
MERCH-00053,Family Table 2,Food,Mumbai,India,4.2,2022-10-10
MERCH-00054,Urban Bites 2,Food,Bangalore,India,3.5,2021-08-14
MERCH-00055,Monsoon Kitchen 2,Food,Kandy,Sri Lanka,3.7,2019-11-12
MERCH-00056,Jade Palace 2,Food,Naypyidaw,Myanmar,3.6,2019-02-07
MERCH-00057,The Terrace Café 2,Food,Mawlamyine,Myanmar,3.4,2019-08-20
MERCH-00058,Ramen House 2,Food,Colombo,Sri Lanka,3.9,2019-10-04
MERCH-00059,Pho Corner 2,Food,Myitkyina,Myanmar,4.0,2021-11-16
MERCH-00060,Dosa Point 2,Food,Da Nang,Vietnam,3.7,2023-01-21
MERCH-00061,Biryani Hub 2,Food,Singapore,Singapore,4.6,2023-11-12
MERCH-00062,Sushi Spot 2,Food,Ho Chi Minh City,Vietnam,3.2,2020-03-30
MERCH-00063,Pizza Palace 2,Food,Naypyidaw,Myanmar,3.3,2021-03-16
MERCH-00064,The Burger Stop 2,Food,Siem Reap,Cambodia,4.0,2018-12-02
MERCH-00065,Chicken Republic 2,Food,Kuala Lumpur,Malaysia,4.1,2019-04-30
MERCH-00066,Mango Tree 2,Food,Mumbai,India,4.3,2021-09-21
MERCH-00067,Green Leaf Café 2,Food,Naypyidaw,Myanmar,4.0,2019-10-10
MERCH-00068,The Sandwich Shop 2,Food,Medan,Indonesia,3.8,2022-09-26
MERCH-00069,Tandoor Express 2,Food,Siem Reap,Cambodia,5.0,2021-02-06
MERCH-00070,Pad Thai Place 2,Food,Kolkata,India,4.1,2020-04-02
MERCH-00071,Night Owl Diner 2,Food,Hyderabad,India,3.8,2023-09-13
MERCH-00072,Continental Kitchen 2,Food,Hanoi,Vietnam,4.3,2021-12-23
MERCH-00073,Ocean Breeze Seafood 2,Food,Davao,Philippines,4.2,2021-01-19
MERCH-00074,Rice Bowl 2,Food,Penang,Malaysia,4.2,2018-10-05
MERCH-00075,Morning Glory Café 2,Food,Cebu City,Philippines,4.6,2021-04-02
MERCH-00076,Heritage Restaurant 2,Food,Kathmandu,Nepal,3.8,2019-09-29
MERCH-00077,The Spice Route 2,Food,Colombo,Sri Lanka,3.9,2023-08-27
MERCH-00078,Zest Kitchen 2,Food,Karachi,Pakistan,3.9,2020-12-25
MERCH-00079,Lotus Bloom Café 2,Food,Colombo,Sri Lanka,4.2,2023-06-25
MERCH-00080,Corner Bistro 2,Food,Dhaka,Bangladesh,3.9,2023-10-22
MERCH-00081,City Supermart,Groceries,Kandy,Sri Lanka,4.2,2019-07-03
MERCH-00082,FreshMart Grocery,Groceries,Colombo,Sri Lanka,3.4,2018-09-03
MERCH-00083,Organic Hub,Groceries,Delhi,India,4.1,2021-06-17
MERCH-00084,DailyFresh Store,Groceries,Quezon City,Philippines,3.9,2020-10-13
MERCH-00085,Global Mart,Groceries,Jaipur,India,4.3,2018-02-11
MERCH-00086,AgroFresh Supermarket,Groceries,Manila,Philippines,4.2,2019-11-20
MERCH-00087,QuickBuy Grocery,Groceries,Jaipur,India,4.2,2022-08-27
MERCH-00088,The Fruit Basket,Groceries,Pokhara,Nepal,3.7,2019-05-15
MERCH-00089,NatureFresh Market,Groceries,Pokhara,Nepal,3.6,2018-05-15
MERCH-00090,Metro Grocery,Groceries,Chennai,India,3.8,2022-09-28
MERCH-00091,Green Valley Market,Groceries,Davao,Philippines,4.1,2018-09-26
MERCH-00092,Value Plus Superstore,Groceries,Pathein,Myanmar,3.4,2019-11-05
MERCH-00093,FarmGate Fresh,Groceries,Hyderabad,India,3.7,2020-11-11
MERCH-00094,Sunny Grocery,Groceries,Khon Kaen,Thailand,4.3,2022-01-28
MERCH-00095,Harvest Mart,Groceries,Chiang Mai,Thailand,3.8,2023-09-10
MERCH-00096,City Supermart 2,Groceries,Kuala Lumpur,Malaysia,3.4,2019-08-17
MERCH-00097,FreshMart Grocery 2,Groceries,Islamabad,Pakistan,4.0,2020-08-22
MERCH-00098,Organic Hub 2,Groceries,Bangkok,Thailand,4.1,2021-11-13
MERCH-00099,DailyFresh Store 2,Groceries,Jakarta,Indonesia,4.0,2018-04-26
MERCH-00100,Global Mart 2,Groceries,Pokhara,Nepal,4.5,2020-10-04
MERCH-00101,AgroFresh Supermarket 2,Groceries,Mawlamyine,Myanmar,5.0,2020-07-06
MERCH-00102,QuickBuy Grocery 2,Groceries,Chennai,India,3.3,2022-07-04
MERCH-00103,The Fruit Basket 2,Groceries,Lahore,Pakistan,4.5,2023-01-21
MERCH-00104,NatureFresh Market 2,Groceries,Yangon,Myanmar,3.7,2021-05-02
MERCH-00105,Metro Grocery 2,Groceries,Bandung,Indonesia,4.4,2019-07-13
MERCH-00106,Green Valley Market 2,Groceries,Kolkata,India,4.2,2019-09-04
MERCH-00107,Value Plus Superstore 2,Groceries,Da Nang,Vietnam,4.4,2020-10-23
MERCH-00108,FarmGate Fresh 2,Groceries,Islamabad,Pakistan,2.8,2018-09-13
MERCH-00109,Sunny Grocery 2,Groceries,Kolkata,India,4.0,2020-12-06
MERCH-00110,Harvest Mart 2,Groceries,Kolkata,India,4.0,2022-03-15
MERCH-00111,City Supermart 3,Groceries,Colombo,Sri Lanka,3.4,2023-07-28
MERCH-00112,FreshMart Grocery 3,Groceries,Kuala Lumpur,Malaysia,4.7,2020-02-06
MERCH-00113,Organic Hub 3,Groceries,Pune,India,3.5,2022-09-30
MERCH-00114,DailyFresh Store 3,Groceries,Jaipur,India,3.7,2019-10-07
MERCH-00115,Global Mart 3,Groceries,Surabaya,Indonesia,4.7,2021-11-15
MERCH-00116,AgroFresh Supermarket 3,Groceries,Hanoi,Vietnam,4.3,2018-01-21
MERCH-00117,QuickBuy Grocery 3,Groceries,Kathmandu,Nepal,4.4,2021-01-17
MERCH-00118,The Fruit Basket 3,Groceries,Karachi,Pakistan,3.9,2022-06-17
MERCH-00119,NatureFresh Market 3,Groceries,Mumbai,India,3.9,2020-12-16
